epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2554,1.98165,3.47795,1.93572,0.00684,0.51295,0.09877,0.04481,2.15562,3.3516,2.11636,0.00040008,0.00040008,0.00040008
2,20.3217,1.77735,2.87582,1.80445,0.65862,0.03009,0.12803,0.05469,2.36039,3.27548,2.32398,0.000800657,0.000800657,0.000800657
3,28.8565,1.8314,2.73616,1.79312,0.02129,0.0829,0.01157,0.00341,2.62795,5.10901,3.47703,0.00118473,0.00118473,0.00118473
4,38.3102,1.90065,2.60054,1.77329,0.22047,0.14508,0.06828,0.02565,2.56463,12.0095,3.06481,0.0015523,0.0015523,0.0015523
5,46.3346,1.88562,2.47525,1.82227,0.27203,0.20725,0.16829,0.06654,2.19355,3.69124,2.41569,0.00153497,0.00153497,0.00153497
6,55.2877,1.82203,2.47639,1.78446,0.2591,0.25389,0.18647,0.0809,2.44531,3.00081,2.48939,0.00150197,0.00150197,0.00150197
7,64.3989,1.861,2.41326,1.78624,0.1573,0.18135,0.08218,0.02719,2.30566,4.68434,2.59319,0.00146896,0.00146896,0.00146896
8,73.0398,1.8313,2.30528,1.73927,0.27448,0.26425,0.18871,0.07998,2.26235,3.47912,2.30375,0.00143595,0.00143595,0.00143595
9,81.7995,1.75246,2.25014,1.72215,0.36974,0.21762,0.22109,0.10345,2.1708,2.90666,2.13438,0.00140295,0.00140295,0.00140295
10,90.442,1.79747,2.25761,1.71924,0.31524,0.25907,0.21402,0.09457,2.03573,2.73541,2.05906,0.00136994,0.00136994,0.00136994
11,98.9093,1.73632,2.21362,1.7192,0.39608,0.27979,0.25042,0.12847,2.08069,2.71489,2.10395,0.00133693,0.00133693,0.00133693
12,107.801,1.74849,2.16112,1.69555,0.46666,0.29534,0.29913,0.15608,1.82503,2.29544,1.81205,0.00130393,0.00130393,0.00130393
13,117.022,1.69377,2.05851,1.64345,0.38591,0.29016,0.26428,0.12549,1.99114,2.55477,2.0279,0.00127092,0.00127092,0.00127092
14,124.836,1.68302,2.03576,1.64657,0.33333,0.33678,0.28549,0.14413,1.85574,2.43412,1.90285,0.00123791,0.00123791,0.00123791
15,133.682,1.67271,2.04078,1.68289,0.44331,0.3057,0.32689,0.16717,1.88937,2.52236,1.94406,0.00120491,0.00120491,0.00120491
16,142.852,1.68316,2.04029,1.65964,0.37595,0.34197,0.31762,0.16086,1.91171,2.59293,1.8867,0.0011719,0.0011719,0.0011719
17,151.464,1.62523,1.95439,1.60268,0.51451,0.36269,0.33763,0.1741,1.98984,2.53281,1.98485,0.00113889,0.00113889,0.00113889
