epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0681,2.05451,3.91942,2.0254,0.14816,0.19689,0.10831,0.05883,1.99473,3.33537,2.10561,0.00040008,0.00040008,0.00040008
2,22.899,1.79712,2.55554,1.82653,0.24996,0.21762,0.15317,0.06733,2.50624,8.20664,2.68784,0.000808743,0.000808743,0.000808743
3,33.0986,1.8888,2.3939,1.85395,0.2028,0.22798,0.11316,0.04626,2.61946,5.48962,3.77672,0.00120916,0.00120916,0.00120916
4,43.4569,1.9792,2.39836,1.83284,0.06375,0.18653,0.02826,0.0079,3.08574,17.0526,3.51927,0.00160132,0.00160132,0.00160132
5,52.8814,1.98466,2.30892,1.87544,0.00431,0.26425,0.00256,0.00093,3.22389,inf,4.15352,0.00160099,0.00160099,0.00160099
6,63.0561,1.8891,2.37279,1.85437,0.0149,0.12435,0.0066,0.00224,2.92859,31.8765,2.98539,0.00158448,0.00158448,0.00158448
7,73.6615,1.94569,2.27932,1.85979,0.16736,0.21762,0.11324,0.04433,2.40537,10.9053,2.41356,0.00156798,0.00156798,0.00156798
8,84.2601,1.90051,2.20411,1.79673,0.22786,0.27979,0.15893,0.07429,2.08464,6.14593,2.12463,0.00155148,0.00155148,0.00155148
9,93.6453,1.81407,2.15207,1.76111,0.30454,0.33679,0.22627,0.1047,2.04877,3.40241,2.09209,0.00153497,0.00153497,0.00153497
10,103.499,1.88645,2.12373,1.79414,0.32484,0.31088,0.23832,0.10757,2.22824,2.72407,2.1884,0.00151847,0.00151847,0.00151847
11,113.946,1.82145,2.09798,1.80437,0.37784,0.32096,0.253,0.10442,2.21405,2.67306,2.23133,0.00150197,0.00150197,0.00150197
12,124.48,1.83456,2.0988,1.78141,0.29384,0.41451,0.23506,0.11171,2.16,2.70627,2.10661,0.00148546,0.00148546,0.00148546
13,134.402,1.75135,1.99417,1.69872,0.32656,0.33161,0.27657,0.1384,2.07411,2.52227,2.01518,0.00146896,0.00146896,0.00146896
14,144.341,1.8159,1.97388,1.72318,0.46753,0.28497,0.3045,0.14981,1.93439,2.71772,1.97349,0.00145246,0.00145246,0.00145246
15,154.36,1.76458,1.98523,1.73987,0.32511,0.3886,0.30514,0.16103,1.94398,2.33953,1.86246,0.00143595,0.00143595,0.00143595
16,164.923,1.76791,2.00208,1.73613,0.45624,0.3057,0.31865,0.15586,2.08231,2.44816,2.0085,0.00141945,0.00141945,0.00141945
17,173.928,1.71858,1.936,1.67208,0.35376,0.36788,0.3341,0.16315,2.11595,2.48226,2.05027,0.00140295,0.00140295,0.00140295
18,184.085,1.69954,1.89976,1.65888,0.38947,0.33679,0.31188,0.15832,2.06144,2.61387,2.03157,0.00138644,0.00138644,0.00138644
19,193.838,1.69647,1.87222,1.66216,0.42106,0.40322,0.37985,0.20479,1.85931,2.28812,1.89575,0.00136994,0.00136994,0.00136994
20,204.815,1.69841,1.9078,1.65917,0.50524,0.30052,0.28221,0.12853,1.93349,2.968,1.87922,0.00135344,0.00135344,0.00135344
21,213.872,1.63481,1.87765,1.61158,0.60711,0.34197,0.39638,0.21512,1.91428,2.26063,1.77917,0.00133693,0.00133693,0.00133693
22,223.431,1.66058,1.84109,1.64126,0.47605,0.37192,0.36973,0.18527,1.9833,2.302,1.93643,0.00132043,0.00132043,0.00132043
23,233.582,1.63385,1.84225,1.61476,0.40117,0.40933,0.34334,0.17739,1.92193,2.27899,1.88291,0.00130393,0.00130393,0.00130393
24,243.613,1.65762,1.82287,1.61281,0.48909,0.39896,0.37221,0.18771,1.83507,2.18488,1.76511,0.00128742,0.00128742,0.00128742
25,252.957,1.62197,1.78896,1.5922,0.4103,0.34715,0.31988,0.14471,1.89502,2.38963,1.8535,0.00127092,0.00127092,0.00127092
26,262.936,1.63749,1.7814,1.61505,0.48428,0.43523,0.40673,0.2043,1.90185,2.12647,1.82045,0.00125442,0.00125442,0.00125442
27,272.711,1.5444,1.73385,1.56605,0.50546,0.41451,0.40949,0.19468,1.86347,2.18122,1.78424,0.00123791,0.00123791,0.00123791
