epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.146,2.06006,3.45311,1.98562,0.00859,0.59585,0.11345,0.06268,1.63443,3.72064,1.88564,0.00035007,0.00035007,0.00035007
2,149.034,1.79634,2.90377,1.77647,0.00651,0.46114,0.05414,0.02624,2.01674,3.95795,2.38454,0.000702617,0.000702617,0.000702617
3,224.154,1.80244,2.75183,1.7738,0.22849,0.11917,0.08742,0.03134,2.70464,3.9008,2.95838,0.00104064,0.00104064,0.00104064
4,299.126,1.88733,2.69436,1.86837,0.09568,0.1399,0.05584,0.01249,2.45921,6.47512,3.31609,0.00136414,0.00136414,0.00136414
5,374.586,1.85048,2.55834,1.82321,0.05371,0.21244,0.0584,0.01935,2.67262,16.8581,4.0104,0.00153497,0.00153497,0.00153497
6,449.372,1.85292,2.5075,1.81459,0.12892,0.15026,0.05025,0.01767,2.3345,8.24601,2.56703,0.00150197,0.00150197,0.00150197
7,523.672,1.80677,2.46382,1.76071,0.08944,0.21934,0.08612,0.03552,2.2356,13.2363,2.75141,0.00146896,0.00146896,0.00146896
8,1913.57,1.78265,2.39061,1.72964,0.25374,0.19689,0.14344,0.07319,1.89247,5.18658,2.14394,0.00143595,0.00143595,0.00143595
9,1987.39,1.78969,2.27624,1.70595,0.17937,0.29534,0.11216,0.04128,2.17546,3.07164,2.44186,0.00140295,0.00140295,0.00140295
10,2062.33,1.73487,2.23811,1.70297,0.19465,0.24352,0.12761,0.05741,2.29292,3.89369,2.77518,0.00136994,0.00136994,0.00136994
11,2137.53,1.75303,2.22549,1.7087,0.27828,0.27979,0.1629,0.06715,2.28616,3.58186,2.71549,0.00133693,0.00133693,0.00133693
12,2212.75,1.76162,2.19974,1.6889,0.2524,0.32642,0.17072,0.07309,2.03997,2.88854,2.1352,0.00130393,0.00130393,0.00130393
13,2288.28,1.69655,2.12808,1.64518,0.3089,0.3057,0.22177,0.10016,2.13564,3.04189,2.3279,0.00127092,0.00127092,0.00127092
14,2363.81,1.70346,2.09325,1.65109,0.32207,0.3057,0.25817,0.11134,2.15268,2.85601,2.20273,0.00123791,0.00123791,0.00123791
15,2439.7,1.6592,2.01894,1.62637,0.33373,0.25389,0.2287,0.09403,1.99189,2.63487,2.16039,0.00120491,0.00120491,0.00120491
16,2514.99,1.67815,2.03957,1.64333,0.38832,0.29534,0.25229,0.13419,1.80195,2.4455,1.9028,0.0011719,0.0011719,0.0011719
17,2590.01,1.61058,1.94867,1.58921,0.29255,0.34197,0.22821,0.11044,1.8201,2.49163,1.96407,0.00113889,0.00113889,0.00113889
18,2665.07,1.67614,1.96048,1.64169,0.38241,0.33161,0.28994,0.14377,2.07035,2.51743,2.23848,0.00110589,0.00110589,0.00110589
19,2740.36,1.60674,2.01476,1.61101,0.22205,0.35233,0.17937,0.08383,2.10305,2.6805,2.3347,0.00107288,0.00107288,0.00107288
20,2815.47,1.66148,1.95766,1.61184,0.39178,0.31606,0.28683,0.14267,2.0265,2.48178,2.13441,0.00103987,0.00103987,0.00103987
21,2890.69,1.60587,1.88791,1.57625,0.36742,0.32804,0.28434,0.14607,1.9335,2.40903,2.26237,0.00100687,0.00100687,0.00100687
22,2965.55,1.51324,1.85906,1.52825,0.39249,0.32642,0.29104,0.15117,2.0265,2.42931,2.16162,0.000973861,0.000973861,0.000973861
23,3040.39,1.53982,1.85823,1.53518,0.47595,0.3057,0.31593,0.14361,2.32793,2.70327,2.47304,0.000940855,0.000940855,0.000940855
24,3115.4,1.56592,1.80315,1.55295,0.38604,0.32642,0.28833,0.14321,2.07221,2.60165,2.24413,0.000907848,0.000907848,0.000907848
25,3190.53,1.56856,1.76626,1.54189,0.39466,0.39523,0.32579,0.15183,2.07311,2.38439,2.31346,0.000874842,0.000874842,0.000874842
26,3265.55,1.51785,1.71567,1.50922,0.37644,0.36284,0.32022,0.16298,2.33106,3.04423,2.37685,0.000841835,0.000841835,0.000841835
27,3340.18,1.52186,1.786,1.51509,0.39067,0.38342,0.33247,0.16119,2.22973,2.64499,2.33035,0.000808828,0.000808828,0.000808828
28,3415.15,1.5128,1.75431,1.50893,0.40014,0.3886,0.34981,0.17698,2.1084,2.5016,2.28229,0.000775822,0.000775822,0.000775822
29,3490.64,1.44291,1.66013,1.47282,0.33998,0.38342,0.33238,0.17911,2.23027,2.42645,2.42827,0.000742815,0.000742815,0.000742815
30,3565.49,1.45188,1.69172,1.48054,0.40559,0.35233,0.33751,0.18455,2.05877,2.40356,2.18195,0.000709809,0.000709809,0.000709809
31,3640.31,1.49069,1.64582,1.49365,0.44631,0.35501,0.32865,0.16611,2.0601,2.38135,2.28089,0.000676802,0.000676802,0.000676802
32,3715.24,1.409,1.58146,1.44947,0.40208,0.40933,0.36477,0.19431,1.92684,2.30965,2.13515,0.000643795,0.000643795,0.000643795
33,3789.95,1.43242,1.59514,1.4745,0.38106,0.43065,0.36274,0.20256,2.13141,2.27279,2.47637,0.000610789,0.000610789,0.000610789
34,3864.73,1.4124,1.52512,1.44094,0.50289,0.3057,0.34468,0.17951,2.00435,2.45957,2.14205,0.000577782,0.000577782,0.000577782
35,3939.35,1.41557,1.52648,1.43843,0.35142,0.43005,0.35432,0.19263,2.03734,2.27231,2.17081,0.000544776,0.000544776,0.000544776
